lat,lon,alt,date,device,os,version
40.6705055237,-73.9885253906,24.7893562317,2017-02-12 20:58:40,"iPhone8,2",10.2,1.1
40.6650428772,-73.9932174683,33,2017-02-12 21:05:04,"iPhone8,2",10.2,1.1
40.6703338623,-73.9885482788,24.5142936707,2017-02-13 12:41:36,"iPhone8,2",10.2,1.1
40.6755981445,-73.996963501,19.4586429596,2017-02-13 12:52:16,"iPhone8,2",10.2,1.1
40.6830062866,-73.9956130981,33,2017-02-13 12:58:40,"iPhone8,2",10.2,1.1
40.6778411865,-73.998008728,25.0108337402,2017-02-13 14:32:32,"iPhone8,2",10.2,1.1
40.6704978943,-73.98853302,24.964931488,2017-02-13 16:17:04,"iPhone8,2",10.2,1.1
40.6652145386,-73.9931564331,25.2630844116,2017-02-13 16:23:28,"iPhone8,2",10.2,1.1
40.6641693115,-73.99168396,32.2553977966,2017-02-13 16:49:04,"iPhone8,2",10.2,1.1
40.6605606079,-73.997756958,33.6917419434,2017-02-14 11:35:28,"iPhone8,2",10.2,1.1
40.6703224182,-73.9885559082,24.0571880341,2017-02-14 11:41:52,"iPhone8,2",10.2,1.1
40.6798057556,-73.995262146,24.9968070984,2017-02-14 11:50:24,"iPhone8,2",10.2,1.1
40.6741294861,-73.9924545288,29.9247436523,2017-02-14 14:43:12,"iPhone8,2",10.2,1.1
40.7304954529,-73.9926757812,18.0827903748,2017-02-14 14:51:44,"iPhone8,2",10.2,1.1
40.7544136047,-73.9869766235,18.3524246216,2017-02-14 14:58:08,"iPhone8,2",10.2,1.1
40.7530555725,-73.9813079834,26.5806407928,2017-02-14 18:27:12,"iPhone8,2",10.2,1.1
40.750125885,-73.9879455566,22.0159854889,2017-02-14 21:56:16,"iPhone8,2",10.2,1.1
40.7374954224,-73.9970932007,11.6773319244,2017-02-14 22:00:32,"iPhone8,2",10.2,1.1
40.7393875122,-74.0027542114,10,2017-02-14 22:09:04,"iPhone8,2",10.2,1.1
40.7381668091,-74.0039291382,10.6422052383,2017-02-14 22:17:36,"iPhone8,2",10.2,1.1
40.733089447,-74.0027923584,9.8336648941,2017-02-15 00:10:40,"iPhone8,2",10.2,1.1
40.7245292664,-74.001953125,10,2017-02-15 00:17:04,"iPhone8,2",10.2,1.1
40.7202033997,-73.9990921021,11.8419647217,2017-02-15 01:48:48,"iPhone8,2",10.2,1.1
40.7181396484,-73.9936981201,14,2017-02-15 01:57:20,"iPhone8,2",10.2,1.1
40.7026977539,-73.9879379272,14,2017-02-15 02:05:52,"iPhone8,2",10.2,1.1
40.6838684082,-73.9785461426,29.8937187195,2017-02-15 02:12:16,"iPhone8,2",10.2,1.1
40.670501709,-73.9885482788,25.0135574341,2017-02-15 02:22:56,"iPhone8,2",10.2,1.1
